Set,Trace,Lookup1,Lookup2,Lookup3,Lookup4,Lookup5,Lookup6
ligra,Radii-24500M,3462317,3994,1156,473,306,407
ligra,CF-184750M,360025,110,10,0,0,0
ligra,PageRankDelta-24000M,1845250,2331,2558,436,53,13600
ligra,Triangle-25000M,1919718,909,12,0,0,0
ligra,PageRank-51000M,2604203,28899,22005,839,409,3975
ligra,BFSCC-17000M,1426295,17944,15097,18411,147953,371026
ligra,Components-Shortcut-22000M,2503328,659,25,0,0,0
ligra,PageRankDelta-17000M,1847878,19759,16571,21477,220436,372990
ligra,Radii-25000M,1657830,48894,40397,42471,72056,395420
ligra,Components-Shortcut-17000M,1428541,18765,15881,18773,197618,327917
spec17,607.cactuBSSN_s-2421B,15495,7530,95,0,0,0
spec17,605.mcf_s-1554B,3092801,855504,643895,587433,4354585,14452106
spec17,649.fotonik3d_s-7084B,1928829,17950,13838,11553,10442,295518
spec17,605.mcf_s-1644B,1194761,2792,1669,0,0,0
spec17,605.mcf_s-472B,966164,116662,147743,243314,3006524,2246507
spec17,621.wrf_s-6673B,765627,84583,279180,87777,55690,255639
spec17,654.roms_s-523B,1701354,42190,35261,29843,68743,1086852
spec17,605.mcf_s-484B,443852,57369,76380,139749,1430478,1134771
spec17,623.xalancbmk_s-10B,2413895,588300,381027,260701,199272,730628
spec17,620.omnetpp_s-874B,946095,105826,118529,74827,40429,171740
spec17,603.bwaves_s-891B,3043595,13005,10622,8397,6109,187178
ml,llama2.c_110M-3,6677985,3307,4113,4048,71393,228966
ml,llama2.c_15M-1,4182579,26390,26142,25736,1213502,1231939
ml,llama2.c_15M-2,4125264,27971,27591,26377,1357975,1024175
ml,bark.cpp-5,2001978,11146,6192,2819,1593,31005
ml,llama2.c_15M-3,4133045,31631,31545,27721,1114823,1240603
ml,stable_diffusion.cpp_v2_1-1,3404843,34003,34973,46295,76287,52648
ml,biogpt.cpp-1,15747691,12792,11429,10688,15838,30177
ml,llama2.c_42M-1,6141905,9101,9274,9113,420646,341090
ml,biogpt.cpp-2,9264954,8039,6631,5206,3295,1990
ml,llama2.c_42M-2,6023628,10603,11038,10161,442433,424633
ml,biogpt.cpp-3,9191085,8628,7779,5520,3301,7409
ml,llama2.c_42M-3,5830570,11011,11548,11153,562069,462517
ml,rwkv-1,17981496,899045,657761,906660,10454903,6685
ml,llama2.c_110M-1,6810163,3211,3975,3740,34443,121370
ml,llama2.c_110M-2,6816431,3084,3759,3821,17673,141026
google,arizona-0,346961,13165,14562,1266,1577,1663
google,charlie-3,966822,165772,461812,118581,405879,153878
google,merced-4,963989,68723,44001,363,111,0
google,tango-0,644120,69545,27186,767,329,161
google,yankee-1,789702,73065,88840,3476,199,57
google,arizona-1,423180,11800,14203,2719,213,73
google,charlie-4,569539,36356,48735,3037,1180,1216
google,tahoe-0,515807,26727,76656,23662,13706,41539
google,tango-1,762894,53185,28814,1062,407,308
google,yankee-2,690265,61088,70507,2609,235,27
google,merced-0,1027260,67471,58566,562,409,443
google,tahoe-1,760183,55951,70912,14991,5380,3359
google,tango-2,678650,71695,39535,2915,1273,1129
google,yankee-3,788371,76930,80366,3372,335,0
google,charlie-0,184871,21199,21140,1934,1418,1603
google,merced-1,1186434,82627,68662,489,108,882
google,tahoe-2,984941,98196,230134,47765,29480,122263
google,tango-3,727303,70482,40350,2704,1587,1338
google,yankee-4,853645,75504,86928,2506,18,0
google,charlie-1,362617,39790,31649,237,47,0
google,merced-2,1001351,64057,58749,861,163,471
google,tahoe-3,720204,60840,73003,6807,3844,501
google,tango-4,690320,63107,40559,3843,3049,4056
google,charlie-2,627184,48621,62579,8005,5408,6897
google,merced-3,1023397,66145,59807,672,1184,13627
google,tahoe-4,604201,42528,52205,6813,3860,1278
google,yankee-0,811930,77848,83190,3230,40,0
google,sierra3-0,696400,84183,21349,1453,1305,1510
google,sierra3-1,632612,66107,18653,1424,935,950
google,sierra3-2,629739,74193,20908,1326,1074,923
google,sierra3-3,990276,77602,32806,756,364,725
google,sierra3-4,961061,80335,28676,1485,1015,954
google,sierra4-0,1451431,88440,43231,2632,2025,1750
google,sierra4-1,1372401,97015,29294,1387,1510,2075
google,sierra4-2,1079218,81822,31982,5179,3000,1972
google,sierra4-3,1059654,80541,50043,3787,2397,2093
google,sierra4-4,1553265,63710,41144,9759,6356,21626
google,sierra6-0,535232,103188,15214,210,0,0
google,sierra6-1,1229433,90895,15927,461,73,0
google,sierra6-2,542372,99922,17416,1101,163,0
google,sierra6-3,821225,98979,14069,279,12,0
google,sierra6-4,541938,104107,13431,13,0,0
gap,bc-0,2958166,2586,603,264,1063,538
gap,cc-14,1837656,95,0,0,0,0
gap,sssp-14,2427446,7872,6038,593,24,232
gap,bc-12,2275082,5264,840,556,1525,167
gap,cc-5,1808118,6,0,0,0,0
gap,sssp-10,2374613,2398,525,14,42,68
gap,bfs-14,1416131,121767,84663,60080,73225,756609
gap,bfs-10,1088793,83757,78104,71629,50245,788886
gap,cc-13,2681720,847,52,0,0,0
