group_name,set,trace,trace_energy
prophet,ligra,Radii-24500M,23662177.586925548
prophet,ligra,CF-184750M,8323570.422568748
prophet,ligra,PageRankDelta-24000M,12628180.737730753
prophet,ligra,Triangle-25000M,18966111.629851576
prophet,ligra,PageRank-51000M,27675529.591607705
prophet,ligra,BFSCC-17000M,8516162.650042526
prophet,ligra,Components-Shortcut-22000M,31145838.693465482
prophet,ligra,PageRankDelta-17000M,8591433.474477753
prophet,ligra,Radii-25000M,26116010.961008534
prophet,ligra,Components-Shortcut-17000M,8315306.843531271
prophet,spec17,607.cactuBSSN_s-2421B,10062093.24063966
prophet,spec17,605.mcf_s-1554B,40053894.67901979
prophet,spec17,649.fotonik3d_s-7084B,7757001.887329627
prophet,spec17,605.mcf_s-1644B,29654932.041534826
prophet,spec17,605.mcf_s-472B,17088596.313480794
prophet,spec17,621.wrf_s-6673B,6322375.841262108
prophet,spec17,654.roms_s-523B,10238959.865310643
prophet,spec17,605.mcf_s-484B,13704871.326689955
prophet,spec17,623.xalancbmk_s-10B,8841494.788481863
prophet,spec17,620.omnetpp_s-874B,12899917.55303497
prophet,spec17,603.bwaves_s-891B,224994.662474565
prophet,ml,llama2.c_110M-3,14686348.13130119
prophet,ml,llama2.c_15M-1,15182851.859261516
prophet,ml,llama2.c_15M-2,15496725.987412065
prophet,ml,bark.cpp-5,16818845.927189007
prophet,ml,llama2.c_15M-3,15127624.908292182
prophet,ml,stable_diffusion.cpp_v2_1-1,39716616.21611017
prophet,ml,biogpt.cpp-1,31136262.91659516
prophet,ml,llama2.c_42M-1,12058577.520646814
prophet,ml,biogpt.cpp-2,25637817.371325232
prophet,ml,llama2.c_42M-2,12781574.158135703
prophet,ml,biogpt.cpp-3,27659955.60980002
prophet,ml,llama2.c_42M-3,12337447.48329255
prophet,ml,rwkv-1,59616597.78941207
prophet,ml,llama2.c_110M-1,11226059.577621631
prophet,ml,llama2.c_110M-2,12551982.551829055
prophet,google,arizona-0,3878361.87521821
prophet,google,charlie-3,11199790.542966634
prophet,google,merced-4,11172082.225140788
prophet,google,tango-0,9576540.316227717
prophet,google,yankee-1,11298936.259653686
prophet,google,arizona-1,3873590.001778505
prophet,google,charlie-4,6626518.165896032
prophet,google,tahoe-0,9407020.165849857
prophet,google,tango-1,8626147.1396168
prophet,google,yankee-2,9211552.067251446
prophet,google,merced-0,9805677.235168967
prophet,google,tahoe-1,12018190.971878732
prophet,google,tango-2,9411687.735213982
prophet,google,yankee-3,11063460.31823906
prophet,google,charlie-0,4191879.76805442
prophet,google,merced-1,12212103.883300709
prophet,google,tahoe-2,9399667.46976873
prophet,google,tango-3,10284123.77134681
prophet,google,yankee-4,11392365.65245043
prophet,google,charlie-1,4884732.303950167
prophet,google,merced-2,11766953.43974572
prophet,google,tahoe-3,11408858.730537139
prophet,google,tango-4,9613046.17307079
prophet,google,charlie-2,7587444.921821021
prophet,google,merced-3,12867334.052782673
prophet,google,tahoe-4,9742914.551004529
prophet,google,yankee-0,11555556.532938208
prophet,google,sierra3-0,13652742.362715902
prophet,google,sierra3-1,11454315.464567484
prophet,google,sierra3-2,11689446.377749454
prophet,google,sierra3-3,13007370.940425083
prophet,google,sierra3-4,12754916.945020422
prophet,google,sierra4-0,15347261.524249313
prophet,google,sierra4-1,17168023.43314223
prophet,google,sierra4-2,16745260.272743626
prophet,google,sierra4-3,14985362.835884849
prophet,google,sierra4-4,14483913.216220684
prophet,google,sierra6-0,11183660.369502319
prophet,google,sierra6-1,12825484.46266359
prophet,google,sierra6-2,12522032.154078597
prophet,google,sierra6-3,12938444.995732894
prophet,google,sierra6-4,11708599.573850136
prophet,gap,bc-0,45570212.227579504
prophet,gap,cc-14,33195707.548786797
prophet,gap,sssp-14,24693758.012392927
prophet,gap,bc-12,46621816.67790628
prophet,gap,cc-5,31546318.525789395
prophet,gap,sssp-10,24537461.886888236
prophet,gap,bfs-14,12951768.126626965
prophet,gap,bfs-10,14761728.193694808
prophet,gap,cc-13,34985744.15113086
triangel,ligra,Radii-24500M,854203.4502238436
triangel,ligra,CF-184750M,546059.1449276459
triangel,ligra,PageRankDelta-24000M,588270.294738158
triangel,ligra,Triangle-25000M,847055.8417633255
triangel,ligra,PageRank-51000M,798850.6389950952
triangel,ligra,BFSCC-17000M,1149335.308933034
triangel,ligra,Components-Shortcut-22000M,978865.0211105176
triangel,ligra,PageRankDelta-17000M,1145390.060820791
triangel,ligra,Radii-25000M,2097771.133231508
triangel,ligra,Components-Shortcut-17000M,1134616.3279571128
triangel,spec17,607.cactuBSSN_s-2421B,663862.0510439
triangel,spec17,605.mcf_s-1554B,15386589.802486038
triangel,spec17,649.fotonik3d_s-7084B,470943.057579716
triangel,spec17,605.mcf_s-1644B,1520244.0480120392
triangel,spec17,605.mcf_s-472B,4714010.261020792
triangel,spec17,621.wrf_s-6673B,476517.89311267005
triangel,spec17,654.roms_s-523B,1233467.3992655408
triangel,spec17,605.mcf_s-484B,2991445.2377246134
triangel,spec17,623.xalancbmk_s-10B,1634636.552428498
triangel,spec17,620.omnetpp_s-874B,1555076.269668125
triangel,spec17,603.bwaves_s-891B,694151.518558429
triangel,ml,llama2.c_110M-3,1005873.8207820288
triangel,ml,llama2.c_15M-1,2254857.6285939
triangel,ml,llama2.c_15M-2,2164900.124619205
triangel,ml,bark.cpp-5,4885004.365204451
triangel,ml,llama2.c_15M-3,2250302.2066453
triangel,ml,stable_diffusion.cpp_v2_1-1,18208683.307703286
triangel,ml,biogpt.cpp-1,2847087.2146339
triangel,ml,llama2.c_42M-1,2809941.901245573
triangel,ml,biogpt.cpp-2,2579630.8433510596
triangel,ml,llama2.c_42M-2,3395378.048570183
triangel,ml,biogpt.cpp-3,2751890.374242878
triangel,ml,llama2.c_42M-3,3106640.1172265382
triangel,ml,rwkv-1,15222150.79852276
triangel,ml,llama2.c_110M-1,846800.729784302
triangel,ml,llama2.c_110M-2,929644.338435748
triangel,google,arizona-0,258183.77566250096
triangel,google,charlie-3,2028018.901826055
triangel,google,merced-4,700745.142948266
triangel,google,tango-0,596004.5701252881
triangel,google,yankee-1,722520.6507550579
triangel,google,arizona-1,326312.658619895
triangel,google,charlie-4,448906.73458995804
triangel,google,tahoe-0,616400.546819946
triangel,google,tango-1,547434.239783648
triangel,google,yankee-2,598048.4930993142
triangel,google,merced-0,606515.200120974
triangel,google,tahoe-1,773310.821984608
triangel,google,tango-2,581200.6045816371
triangel,google,yankee-3,686785.3296394179
triangel,google,charlie-0,304880.776928996
triangel,google,merced-1,848366.239048575
triangel,google,tahoe-2,1057253.0115395668
triangel,google,tango-3,629675.915735692
triangel,google,yankee-4,716219.951843761
triangel,google,charlie-1,343283.12035554403
triangel,google,merced-2,732641.3545153671
triangel,google,tahoe-3,713733.8228773461
triangel,google,tango-4,589479.8485248149
triangel,google,charlie-2,495429.68450272206
triangel,google,merced-3,808070.0392721719
triangel,google,tahoe-4,619977.531463883
triangel,google,yankee-0,745196.3225377831
triangel,google,sierra3-0,859560.790988716
triangel,google,sierra3-1,759739.60805011
triangel,google,sierra3-2,778431.872747593
triangel,google,sierra3-3,955713.8780712071
triangel,google,sierra3-4,887419.6385472501
triangel,google,sierra4-0,1075567.162631962
triangel,google,sierra4-1,1148948.881454094
triangel,google,sierra4-2,1118759.774023632
triangel,google,sierra4-3,985966.0361641401
triangel,google,sierra4-4,979210.806595165
triangel,google,sierra6-0,723911.3090787419
triangel,google,sierra6-1,828708.5997099981
triangel,google,sierra6-2,809594.592946878
triangel,google,sierra6-3,826425.136204603
triangel,google,sierra6-4,762416.4340711259
triangel,gap,bc-0,1629050.8183106089
triangel,gap,cc-14,1044365.2178096682
triangel,gap,sssp-14,913185.008266408
triangel,gap,bc-12,1688547.160418214
triangel,gap,cc-5,906449.277263732
triangel,gap,sssp-10,901951.940580434
triangel,gap,bfs-14,1801663.279880546
triangel,gap,bfs-10,1805818.6276404331
triangel,gap,cc-13,1121377.5394775681
prism,ligra,Radii-24500M,1931927.980580076
prism,ligra,CF-184750M,687466.620552226
prism,ligra,PageRankDelta-24000M,1216469.49241125
prism,ligra,Triangle-25000M,987359.0687323841
prism,ligra,PageRank-51000M,1716771.223706914
prism,ligra,BFSCC-17000M,946748.167576802
prism,ligra,Components-Shortcut-22000M,1225998.101406341
