ligra-0,BFSCC-17000M,Radii-25000M
ligra-1,CF-184750M,PageRankDelta-17000M
ligra-2,Triangle-25000M,BFSCC-17000M
ligra-3,PageRankDelta-17000M,Radii-25000M
ligra-4,CF-184750M,Triangle-25000M
ligra-5,Components-Shortcut-22000M,Radii-25000M
ligra-6,Radii-24500M,Components-Shortcut-17000M
ligra-7,Radii-24500M,Triangle-25000M
ligra-8,Triangle-25000M,PageRank-51000M
ligra-9,CF-184750M,PageRank-51000M
ligra-10,CF-184750M,BFSCC-17000M
ligra-11,Radii-25000M,Components-Shortcut-17000M
ligra-12,CF-184750M,PageRankDelta-24000M
ligra-13,PageRankDelta-24000M,Triangle-25000M
ligra-14,PageRankDelta-24000M,BFSCC-17000M
ligra-15,Triangle-25000M,Radii-25000M
ligra-16,PageRank-51000M,Components-Shortcut-22000M
ligra-17,Components-Shortcut-22000M,PageRankDelta-17000M
ligra-18,Radii-24500M,PageRankDelta-24000M
ligra-19,BFSCC-17000M,Components-Shortcut-17000M
ligra-20,PageRank-51000M,PageRankDelta-17000M
ligra-21,Radii-24500M,PageRank-51000M
ligra-22,Radii-24500M,BFSCC-17000M
ligra-23,PageRank-51000M,BFSCC-17000M
ligra-24,Triangle-25000M,Components-Shortcut-22000M
spec17-0,607.cactuBSSN_s-2421B,621.wrf_s-6673B
spec17-1,649.fotonik3d_s-7084B,620.omnetpp_s-874B
spec17-2,607.cactuBSSN_s-2421B,605.mcf_s-484B
spec17-3,620.omnetpp_s-874B,603.bwaves_s-891B
spec17-4,649.fotonik3d_s-7084B,621.wrf_s-6673B
spec17-5,621.wrf_s-6673B,654.roms_s-523B
spec17-6,605.mcf_s-1644B,605.mcf_s-472B
spec17-7,602.gcc_s-734B,605.mcf_s-484B
spec17-8,605.mcf_s-1554B,649.fotonik3d_s-7084B
spec17-9,654.roms_s-523B,620.omnetpp_s-874B
spec17-10,605.mcf_s-472B,623.xalancbmk_s-10B
spec17-11,607.cactuBSSN_s-2421B,603.bwaves_s-891B
spec17-12,605.mcf_s-1644B,620.omnetpp_s-874B
spec17-13,605.mcf_s-472B,603.bwaves_s-891B
spec17-14,649.fotonik3d_s-7084B,623.xalancbmk_s-10B
spec17-15,607.cactuBSSN_s-2421B,654.roms_s-523B
spec17-16,621.wrf_s-6673B,623.xalancbmk_s-10B
spec17-17,623.xalancbmk_s-10B,603.bwaves_s-891B
spec17-18,607.cactuBSSN_s-2421B,605.mcf_s-1554B
spec17-19,605.mcf_s-1554B,621.wrf_s-6673B
spec17-20,605.mcf_s-472B,654.roms_s-523B
spec17-21,649.fotonik3d_s-7084B,654.roms_s-523B
spec17-22,621.wrf_s-6673B,620.omnetpp_s-874B
spec17-23,605.mcf_s-1554B,654.roms_s-523B
spec17-24,621.wrf_s-6673B,603.bwaves_s-891B
ml-0,stable_diffusion.cpp_v2_1-1,llama2.c_42M-3
ml-1,bark.cpp-5,stable_diffusion.cpp_v2_1-2
ml-2,llama2.c_15M-1,clip-1
ml-3,bark.cpp-4,stable_diffusion.cpp_v2_1-2
ml-4,stable_diffusion.cpp_v1_4-2,clip-1
ml-5,stable_diffusion.cpp_v2_1-1,vit.cpp_base-1
ml-6,vit.cpp_base-1,whisper-1
ml-7,biogpt.cpp-3,clip-1
ml-8,bark.cpp-1,stable_diffusion.cpp_v2_1-2
ml-9,clip-3,whisper-3
ml-10,llama2.c_15M-2,stable_diffusion.cpp_v2_1-2
ml-11,stable_diffusion.cpp_v2_1-1,biogpt.cpp-3
ml-12,llama2.c_15M-3,biogpt.cpp-1
ml-13,llama2.c_42M-3,llama2.c_110M-2
ml-14,stable_diffusion.cpp_v2_1-1,llama2.c_42M-1
ml-15,llama2.c_110M-3,bark.cpp-2
ml-16,stable_diffusion.cpp_v2_1-2,llama2.c_110M-1
ml-17,biogpt.cpp-3,clip-3
ml-18,bark.cpp-5,biogpt.cpp-2
ml-19,stable_diffusion.cpp_v1_5-2,whisper-2
ml-20,bark.cpp-4,bark.cpp-5
ml-21,biogpt.cpp-3,vit.cpp_base-1
ml-22,stable_diffusion.cpp_v1_4-2,stable_diffusion.cpp_v2_1-2
ml-23,clip-3,whisper-1
ml-24,llama2.c_15M-1,biogpt.cpp-2
google-0,arizona-0,charlie-1
google-1,sierra3-4,sierra6-0
google-2,tahoe-2,sierra4-0
google-3,tango-4,sierra4-1
google-4,arizona-0,sierra6-3
google-5,charlie-2,sierra3-3
google-6,yankee-2,sierra4-3
google-7,merced-4,sierra4-1
google-8,arizona-2,sierra4-1
google-9,tango-2,sierra6-0
google-10,yankee-2,sierra6-3
google-11,charlie-0,sierra6-4
google-12,arizona-1,sierra3-3
google-13,tahoe-3,tango-4
google-14,sierra3-0,sierra6-2
google-15,charlie-4,tahoe-3
google-16,charlie-3,tahoe-4
google-17,charlie-4,tango-1
google-18,yankee-1,arizona-1
google-19,sierra4-2,sierra6-2
google-20,tahoe-0,tango-3
google-21,sierra4-1,sierra4-4
google-22,merced-2,sierra3-4
google-23,sierra3-3,sierra4-0
google-24,sierra4-0,sierra4-1
gap-0,bfs-14,sssp-3
gap-1,bc-0,sssp-5
gap-2,bfs-14,sssp-5
gap-3,cc-14,bfs-14
gap-4,bc-3,bc-5
gap-5,bc-0,bfs-10
gap-6,cc-14,bc-5
gap-7,cc-5,sssp-10
gap-8,cc-5,cc-13
gap-9,bfs-14,bfs-8
gap-10,bc-0,sssp-3
gap-11,cc-13,sssp-3
gap-12,cc-13,bfs-3
gap-13,bc-0,cc-14
gap-14,sssp-10,sssp-3
gap-15,bfs-14,bc-3
gap-16,sssp-14,sssp-10
gap-17,sssp-14,bfs-10
gap-18,cc-14,bc-12
gap-19,cc-5,bfs-3
gap-20,bfs-10,bc-5
gap-21,sssp-14,bfs-8
gap-22,bc-5,cc-6
gap-23,bfs-14,bc-5
gap-24,bc-5,sssp-3
mix-0,bfs-10,arizona-0
mix-1,merced-4,Triangle-25000M
mix-2,sssp-5,whisper-3
mix-3,Triangle-25000M,cc-14
mix-4,merced-2,sssp-14
mix-5,cc-13,654.roms_s-523B
mix-6,PageRank-51000M,sssp-10
mix-7,clip-1,BFSCC-17000M
mix-8,bark.cpp-5,merced-1
mix-9,sierra6-4,sssp-14
