ligra-0,Components-Shortcut-22000M,Radii-24500M,BFSCC-17000M,Radii-25000M
ligra-1,PageRankDelta-24000M,Components-Shortcut-22000M,CF-184750M,Components-Shortcut-17000M
ligra-2,Radii-25000M,BFSCC-17000M,PageRank-51000M,PageRankDelta-24000M
ligra-3,Radii-24500M,Components-Shortcut-22000M,BFSCC-17000M,PageRankDelta-24000M
ligra-4,PageRankDelta-24000M,Radii-24500M,CF-184750M,Triangle-25000M
ligra-5,Components-Shortcut-17000M,Triangle-25000M,PageRankDelta-17000M,Radii-25000M
ligra-6,BFSCC-17000M,PageRankDelta-24000M,Components-Shortcut-22000M,CF-184750M
ligra-7,PageRankDelta-17000M,Components-Shortcut-17000M,PageRankDelta-24000M,PageRank-51000M
ligra-8,Components-Shortcut-17000M,Components-Shortcut-22000M,Triangle-25000M,PageRank-51000M
ligra-9,PageRankDelta-24000M,Components-Shortcut-22000M,Triangle-25000M,CF-184750M
ligra-10,Components-Shortcut-22000M,Triangle-25000M,PageRank-51000M,BFSCC-17000M
ligra-11,Components-Shortcut-22000M,BFSCC-17000M,Triangle-25000M,PageRankDelta-17000M
ligra-12,PageRank-51000M,BFSCC-17000M,Radii-25000M,CF-184750M
ligra-13,BFSCC-17000M,CF-184750M,PageRank-51000M,Radii-24500M
ligra-14,Triangle-25000M,PageRankDelta-17000M,Radii-24500M,Components-Shortcut-22000M
ligra-15,Radii-24500M,Triangle-25000M,Components-Shortcut-22000M,Components-Shortcut-17000M
ligra-16,Components-Shortcut-22000M,Radii-25000M,Components-Shortcut-17000M,Radii-24500M
ligra-17,Radii-25000M,Components-Shortcut-22000M,PageRankDelta-24000M,BFSCC-17000M
ligra-18,PageRankDelta-24000M,Components-Shortcut-22000M,Radii-24500M,Radii-25000M
ligra-19,PageRankDelta-24000M,CF-184750M,PageRank-51000M,Radii-24500M
spec17-0,607.cactuBSSN_s-2421B,605.mcf_s-1554B,623.xalancbmk_s-10B,603.bwaves_s-891B
spec17-1,605.mcf_s-484B,649.fotonik3d_s-7084B,607.cactuBSSN_s-2421B,605.mcf_s-1554B
spec17-2,605.mcf_s-1554B,621.wrf_s-6673B,605.mcf_s-1644B,605.mcf_s-472B
spec17-3,623.xalancbmk_s-10B,654.roms_s-523B,605.mcf_s-1644B,620.omnetpp_s-874B
