Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI
bc-0,baseline,0.3115,1.0645933014354065,0.0065720428497064685,0.08299241984426442,0,0.9580876715226185,1.037124183087717,49.76,76.25,82.39,95.406115,46.164925,22.094655
bc-0,triangel,0.2774,0.9480519480519479,0.0009412457367959298,0.2612540945250351,0,0.6443966803988298,1.220381597576352,58.9,93.1,83.7,95.306075,46.42659,29.61945
bc-0,prophet,0.253,0.8646616541353382,0.026796452704338447,0.07111571539208868,0,0.9628685541227919,3.0689670912418805,72.97,122.8,81.63,95.146275,45.22509,39.49811
bc-0,kairos,0.2785,0.9518113465481887,7.316496353694928e-06,0.6415094339622641,0,0.6764705882352942,1.1949499361033427,58.3,91.88,83.86,95.329045,46.46999,29.149925
bc-0,ptp,0.3104,1.060833902939166,0.00647951068993915,0.020488389591873154,0,0.9589247055814958,1.0378973706808818,49.89,76.46,82.64,95.409205,46.169225,22.197205
bc-12,baseline,0.3043,1.0639860139860142,0.008421523125458014,0.08932232476767446,0,0.9635093045571094,1.0517823053979094,50.43,73.59,81.17,90.47752,47.69666,21.684735
bc-12,triangel,0.2685,0.938811188811189,0.001413877873466142,0.30565058976100784,0,0.6646866286822645,1.2566629100449251,60.2,90.59,82.38,90.43712,48.03374,29.583255
bc-12,prophet,0.2458,0.8594405594405595,0.03791785122162915,0.08475223304319628,0,0.9519283403621448,3.3199431875287297,74.83,121.2,78.97,90.403665,46.277835,39.603085
bc-12,kairos,0.2697,0.9430069930069931,-1.5280109351530868e-05,1.0,0,0,1.218549215158016,59.39,89.01,82.72,90.45498,48.102485,28.959555
bc-12,ptp,0.3034,1.060839160839161,0.00834792912939758,0.02225509395185032,0,0.9641128135923973,1.052257265471332,50.51,73.72,81.34,90.476835,47.7002,21.74919
bc-3,baseline,0.3479,1.0548817465130382,0.002659220051956608,0.05919845391974602,0,0.9689658617818485,0.9821428766730116,48.34,79.55,84.87,101.81959,43.295785,22.01887
bc-3,triangel,0.3191,0.9675560946027896,0.0008118867873458996,0.2608368482544209,0,0.5463103552991193,1.1353833433405844,55.68,94.48,85.69,101.495515,43.37598,28.080955
bc-3,prophet,0.2886,0.8750758035172833,0.0243445099740908,0.05927748606881001,0,0.9709208982748294,2.7245190465097346,69.29,125.3,86.16,100.94914,42.3544,37.70714
bc-3,kairos,0.3183,0.9651303820497272,6.21958951860953e-06,0.4782608695652174,0,0.36363636363636365,1.1420826550510683,55.93,94.9,85.74,101.500755,43.410955,28.2804
bc-3,ptp,0.3473,1.0530624620982414,0.002648738891841914,0.013199378323545358,0,0.9701388218613646,0.9837787224122897,48.44,79.73,85,101.82362,43.29624,22.09699
bc-5,baseline,0.4742,1.0421978021978022,0.010054287286568705,0.098324011598667,0,0.9094978596037556,1.0720548168223674,44.93,79.04,88.91,105.72579,38.99166,19.16687
bc-5,triangel,0.4329,0.9514285714285714,0.002268349172679017,0.2365234627483087,0,0.8103935143013299,1.2274417085062503,54.56,99.83,91.15,104.650005,39.29833,26.90488
bc-5,prophet,0.4033,0.8863736263736264,0.03701018148443644,0.0694812564902585,0,0.9005332978875523,2.839400088326305,64.16,125.5,87.15,104.458585,37.92993,32.76117
bc-5,kairos,0.433,0.9516483516483516,5.839390113785594e-06,0.5524861878453039,0,0.22333333333333333,1.2120149926351773,54.52,99.52,91.45,104.6489,39.387445,26.8756
bc-5,ptp,0.4735,1.0406593406593405,0.009895354320863062,0.03000599829520461,0,0.9107728414869425,1.0732397447745488,45.04,79.21,89.08,105.716085,38.99792,19.235255
bfs-10,baseline,0.5072,1.329837441006817,0.46912053640994084,0.4814302262433755,0,0.8554721600630365,1.058982441477369,48.49,109.8,83.61,40.12738,8.70452,7.02007
bfs-10,triangel,0.494,1.295228106974305,0.4522924675912387,0.2334494724387144,0,0.9989443016787147,1.1803859761251492,51.16,114,83.53,39.178665,8.98044,7.874445
bfs-10,prophet,0.552,1.4472994231777663,0.5267529517885464,0.3698540364116744,0,0.7806440184247998,1.1877580722120007,42.04,101.8,78.83,40.8021,7.759555,5.08783
bfs-10,kairos,0.3711,0.9729942317776612,0.001330778709858222,0.005904464271850964,0,0.9464499163279942,1.0692993420202543,79.54,109.4,86.78,43.117225,16.374595,13.961135
bfs-10,ptp,0.5072,1.329837441006817,0.4691726819551713,0.3680032000562791,0,0.8554568369950831,1.0588232884111985,48.49,109.8,83.63,40.11847,8.703665,7.021275
bfs-14,baseline,0.5796,1.4160762277058392,0.49949868965768873,0.5559423827541518,0,0.8131010228960871,1.0450457698011162,47.17,103.3,80.35,38.33333,8.299085,5.7847
bfs-14,triangel,0.5677,1.3870021988761299,0.5186235661393435,0.23350848970087545,0,0.9944898430033894,1.2065839341061824,49.83,114.6,81.64,36.260505,7.981965,6.907815
bfs-14,prophet,0.6096,1.4893720987051065,0.5197042856983471,0.4200601538089508,0,0.7440932797521103,1.1936194661171715,43.89,97.97,76.19,38.385835,7.964045,4.61465
bfs-14,kairos,0.3966,0.9689714146103103,0.0009094448074651668,0.008998639380987068,0,0.9041618938526155,1.0764207768482277,85.38,108.3,85.96,41.894095,16.566465,13.8957
bfs-14,ptp,0.5795,1.4158319081358417,0.49905391807578847,0.3431284801339202,0,0.8128279780788336,1.0451531392743598,47.18,103.2,80.32,38.329345,8.30646,5.78807
bfs-3,baseline,0.5468,1.287497056745938,0.29883878177550416,0.4248570967285883,0,0.8114495727418767,1.0324693105199279,51.11,95.07,82.31,47.848495,13.21359,8.435145
bfs-3,triangel,0.5112,1.2036731810689898,0.29414822108117705,0.22590312911617721,0,0.9929197212052597,1.2051043248769802,58.85,112.1,82.98,45.710305,13.301985,10.991535
bfs-3,prophet,0.5445,1.2820814692724274,0.3160616482787879,0.2954393673545855,0,0.7414856071437151,1.319279893067855,55.11,106.7,80.48,47.6692,12.88902,9.196655
bfs-3,kairos,0.4116,0.9691546974334825,0.00642335394590533,0.09588372471392158,0,0.8958063994828701,1.1252018070986003,75.93,108.8,84.88,51.080515,18.724245,15.356145
bfs-3,ptp,0.5467,1.287261596421003,0.2987085105327351,0.19647806413754612,0,0.8115544424992975,1.032866947355957,51.15,95.1,82.29,47.852795,13.216045,8.444195
bfs-8,baseline,0.5586,1.4007021063189569,0.4779929515210806,0.4910725354619147,0,0.8300821788961175,1.0522728485019803,46.66,104.4,81.57,41.772925,8.85752,6.25511
bfs-8,triangel,0.5221,1.3091775325977935,0.4483221555615799,0.22562845178879046,0,0.9992508232119288,1.1946580172083077,52.88,115.8,83.77,39.68571,9.36098,8.232975
bfs-8,prophet,0.572,1.4343029087261785,0.49240343701747974,0.35095783172528106,0,0.7681529469633666,1.1827208123724302,45.23,103,79.96,40.918035,8.613,5.54637
bfs-8,kairos,0.388,0.9729187562688065,0.00528223382562676,0.034040525149497236,0,0.9750303163929005,1.070043495412233,81.27,110.3,86.5,45.09131,16.87857,14.413315
bfs-8,ptp,0.5586,1.4007021063189569,0.477894237455947,0.29667885457792564,0,0.829951381527016,1.0522897247098724,46.67,104.4,81.58,41.77437,8.859195,6.255915
