Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI
arizona-0,baseline,1.485,1.0305343511450382,0.05941760786904684,0.17855280535290477,0,0.8111958731934986,1.0136504124569596,101.7,134.7,82.58,5.904515,4.50578,4.119515
arizona-0,triangel,1.431,0.993060374739764,0.004324260006700881,0.054727704693704506,0,0.9930971007823286,1.0269096463487852,108.3,137,84.06,6.113635,4.7697,4.50444
arizona-0,prophet,1.477,1.0249826509368494,0.07353225138114339,0.1535788156987546,0,0.8171942289898447,1.0741913851876583,104.9,142.1,83.36,5.851335,4.438165,4.242485
arizona-0,kairos,1.451,1.006939625260236,0.026780560765612166,0.32886810063213273,0,0.8460025155610024,1.0224239888463957,106.2,136.9,83.61,6.015775,4.662125,4.376335
arizona-0,ptp,1.491,1.0346981263011799,0.07092809286878068,0.08452157059367933,0,0.8046635951183484,1.0147286610659831,101.5,135.1,82.33,5.90701,4.45064,4.076255
arizona-1,baseline,1.637,1.016139044072005,0.07112106147963584,0.18766073074870201,0,0.5994990303813833,1.0111081146272336,81.4,120.1,81.4,6.23606,4.63022,3.305865
arizona-1,triangel,1.607,0.9975170701427685,0.04031403844533516,0.08342696770325915,0,0.8465707231890167,1.0633094694101803,87.38,126.7,86.59,6.24721,4.783785,3.77087
arizona-1,prophet,1.605,0.9962756052141527,0.09131970774804704,0.16170671781593654,0,0.5753649602107657,1.166491065266769,91.79,141.5,84.79,6.231445,4.529535,3.62296
arizona-1,kairos,1.615,1.0024829298572315,0.028842025862933673,0.22017439953957452,0,0.889726443768997,1.0462339781171064,87.39,124.7,87.06,6.27447,4.84097,3.75764
arizona-1,ptp,1.642,1.0192427063935443,0.08309962004036318,0.09654049018161197,0,0.642056522911859,1.011530228008228,81.6,121.1,81.81,6.218415,4.57051,3.293435
arizona-2,baseline,1.497,1.0149152542372881,0.06720506218214453,0.20519834579217228,0,0.5979475305172762,1.0193430391264786,65.34,109.8,72.09,7.808975,3.492235,2.884835
arizona-2,triangel,1.464,0.9925423728813558,0.04898713620240181,0.1589646984949275,0,0.9073941488705098,1.0378462238398545,68.07,113.9,73.28,7.849415,3.56044,3.14798
arizona-2,prophet,1.46,0.9898305084745762,0.0729464934398906,0.16605858671774326,0,0.5745012708927059,1.1014322111010009,67.82,117.5,72.95,7.82244,3.47074,3.0266
arizona-2,kairos,1.466,0.9938983050847456,0.028099491431257746,0.3921840124087315,0,0.47975228136515347,1.043174704276615,68.84,113.2,73.19,7.865995,3.63864,3.108935
arizona-2,ptp,1.504,1.0196610169491525,0.0941226120774392,0.07271588114999977,0,0.6489020104536454,1.0215759781619653,65.36,111,71.99,7.814035,3.39146,2.85243
charlie-0,baseline,1.177,1.0068434559452524,0.01763379836605445,0.0738278777777341,0,0.9270539374900165,1.0058564429222587,94.89,122.1,68.17,5.478265,4.538635,4.322105
charlie-0,triangel,1.162,0.9940119760479041,0.001012963991078125,0.006383176124942013,0,0.9166666666666666,1.0105846484247665,96.72,123.5,68.66,5.477805,4.615425,4.449625
charlie-0,prophet,1.162,0.9940119760479041,0.0200590679216165,0.05058520936032086,0,0.9183174492290804,1.030741995483339,95.98,125.9,68.89,5.47472,4.52743,4.447175
charlie-0,kairos,1.166,0.9974337040205302,0.00516546701860672,0.19330892820825707,0,0.9495002630194634,1.0106761940048778,96.32,123.3,68.58,5.477375,4.59624,4.426675
charlie-0,ptp,1.19,1.0179640718562875,0.05301069997326901,0.04776841959228711,0,0.818583996082603,1.0068300425377672,94.5,122.8,67.49,5.479755,4.37519,4.19024
charlie-1,baseline,1.044,1.0028818443804035,0.007097133314778736,0.03037687239452408,0,0.9044187519797275,1.00645980216336,89.81,124.2,67.18,10.076645,6.77825,6.464485
charlie-1,triangel,1.037,0.9961575408261287,0.0002233875811153266,0.004835821576432213,0,0.9398584905660378,1.006296768268946,90.73,124.9,67.41,10.077905,6.825175,6.544505
charlie-1,prophet,1.033,0.9923150816522575,0.011736270818990141,0.02618972618616013,0,0.8725746056961308,1.0243868761042219,90.52,127.2,67.63,10.07124,6.74658,6.5796
charlie-1,kairos,1.038,0.9971181556195966,0.001733634113114682,0.04954665922722835,0,0.776463963963964,1.004196459169991,90.55,124.7,67.34,10.07683,6.814865,6.518275
charlie-1,ptp,1.054,1.0124879923150818,0.03644440212694274,0.02782264735240595,0,0.8087252805986104,1.0067733928684317,89.55,125.2,66.7,10.07666,6.577905,6.339305
charlie-2,baseline,0.7302,1.0141666666666667,0.032567205600368666,0.13897743310059166,0,0.9086069833422287,1.007873653693054,89.91,126,73.59,13.72671,9.457415,9.25249
charlie-2,triangel,0.7158,0.9941666666666666,0.0008316467680089118,0.012723949662984133,0,0.8774016468435498,1.0076363800351755,92.48,126.3,74.11,13.73005,9.767655,9.547625
charlie-2,prophet,0.7277,1.0106944444444446,0.04510481766937387,0.12536297098120167,0,0.9119870681432545,1.0246027729479734,89.88,127.7,73.68,13.712225,9.33485,9.17673
charlie-2,kairos,0.7187,0.9981944444444445,0.008583965379762342,0.24318705177972236,0,0.8844759482711975,1.0077987872221208,92,126.4,73.99,13.73184,9.69187,9.481035
charlie-2,ptp,0.7425,1.03125,0.06500245248847024,0.0665216935096404,0,0.8128512312250945,1.0107126845908,89.65,125.8,72.93,13.729205,9.140335,8.860535
charlie-3,baseline,0.7268,1.0510484454085323,0.11507410806151108,0.08273178866304545,0,0.7639935651637357,1.0060106628657652,49.3,122.9,78.34,32.77959,7.955705,7.15267
charlie-3,triangel,0.6963,1.006941431670282,0.04031033619754734,0.008221283040748035,0,0.9940279508152321,1.0126552737157504,53.26,125.7,80.06,32.880705,8.62785,8.197715
charlie-3,prophet,0.7372,1.0660882140274766,0.1884391424042713,0.06099311996998282,0,0.8341691341331918,1.0367937140225811,47.06,126.5,77.78,32.706295,7.296135,6.717905
charlie-3,kairos,0.715,1.0339840925524222,0.08969828425238453,0.07383202493458006,0,0.730821500327336,1.012488078642989,50.69,124.4,78.99,32.793455,8.18384,7.48064
charlie-3,ptp,0.7342,1.0617498192335502,0.14546480909874587,0.045650223315100116,0,0.7688602778437356,1.0090121627448971,49.18,123.6,77.86,32.71499,7.682485,6.94482
charlie-4,baseline,0.8798,1.0179335878745808,0.051924762343298715,0.14112183776205953,0,0.9350341479934526,1.01094402101506,78.91,124.8,79.03,8.902735,5.857735,5.569475
charlie-4,triangel,0.8612,0.9964132824250839,-8.254357208117432e-05,0.007634609038449532,0,0.9217289719626168,1.0070121294910217,82.69,125.6,79.77,8.9227,6.179065,5.92026
charlie-4,prophet,0.8781,1.0159666782367234,0.07132412028378804,0.12314937797069744,0,0.9367856139949453,1.0293445987704841,78.52,127.1,79.14,8.89299,5.737875,5.53016
charlie-4,kairos,0.8675,1.003702418141849,0.016496575655634692,0.25862516505467964,0,0.9105428521556991,1.006679801079125,81.42,125.2,79.47,8.915375,6.07663,5.80122
charlie-4,ptp,0.8882,1.027652435496934,0.0829449604316867,0.06499824978115563,0,0.8613395132491567,1.0136443133648598,78.8,125.5,78.72,8.90559,5.666075,5.405435
merced-0,baseline,0.6997,1.0101053847264327,0.03534793327020524,0.06803848686780743,0,0.9289968009187105,1.0172736701221075,60.06,101.9,82.81,15.95707,7.192195,5.296555
merced-0,triangel,0.6747,0.9740147249891727,0.0025631258600755926,0.007368477719607553,0,0.7013698630136986,1.0662560901654115,63.07,108,84.15,15.979175,7.43663,5.9433
merced-0,prophet,0.6665,0.9621769885953515,0.05246695834350447,0.05161109034709851,0,0.9123383831442737,1.185672148396682,62.42,116.5,85.36,15.944455,7.06456,6.203905
merced-0,kairos,0.6778,0.9784899667965931,0.00800725347182171,0.0925653134612885,0,0.8710507839925111,1.0647921630805846,62.62,107.6,84.05,15.97778,7.39604,5.88485
merced-0,ptp,0.7189,1.0378230114046485,0.18620150380780445,0.09714317615875948,0,0.8331456576912979,1.0312819571544694,59.78,107.2,81.81,15.968915,6.06747,4.80608
merced-1,baseline,0.5306,1.0074045946459085,0.017096833058359233,0.054585332219884625,0,0.9213725041914342,1.013793498576178,69.39,110.5,84.98,20.2959,11.76914,9.50249
merced-1,triangel,0.519,0.9853806721093603,0.0007295060780341836,0.002233553548366837,0,0.981253661394259,1.0326786900527565,71.3,113.8,85.6,20.30341,11.96512,10.04237
merced-1,prophet,0.5172,0.9819631668881718,0.04006145055205696,0.06430074560252566,0,0.9139669734022438,1.1112721180185106,70.18,119,86.16,20.27181,11.494165,10.16145
merced-1,kairos,0.522,0.9910765141446746,0.0062331638390476585,0.16305633594558627,0,0.8610292450691454,1.0311667598331984,70.82,113.2,85.42,20.301275,11.89922,9.919615
merced-1,ptp,0.5529,1.049743687108411,0.16672157797133838,0.09598499017903236,0,0.8148958394923037,1.0293293403345014,69.01,114,83.75,20.30752,9.977555,8.35075
merced-2,baseline,0.5465,1.0081165836561519,0.018783646074415496,0.08710079986097191,0,0.9116943875883659,1.0168370369221214,76.55,110.8,84.93,16.176295,12.021485,10.00444
merced-2,triangel,0.5304,0.9784172661870503,-0.00044606364140564324,0.012493945600858996,0,0.9462867818776273,1.044749855390812,79.38,115.1,85.79,16.18143,12.25708,10.701495
