Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI
BFSCC-15500M,baseline,0.7195,1.004327191513121,0.0078638783226149,0.9999154881965181,0,0.9998027891252289,1.0000001328824366,143.3,134.4,72.85,32.9942,22.38649,22.13203
BFSCC-15500M,triangel,0.7141,0.99678950307091,0.0,0,0,0,1.0021746210757656,144.5,134.6,73.05,32.97782,22.56393,22.343465
BFSCC-15500M,prophet,0.7121,0.9939977666108318,0.0,0,0,0,1.0043455214433052,144.9,134.9,73.13,32.93401,22.56393,22.42333
BFSCC-15500M,kairos,0.7141,0.99678950307091,5.29606323011993e-05,0.9958333333333333,0,1.0,1.002177145842062,144.6,134.6,73.07,32.978945,22.562735,22.3436
BFSCC-15500M,ptp,0.7195,1.004327191513121,0.007865207878237523,0.9998591906277282,0,0.9997183415953133,1.0000001328824366,143.3,134.4,72.85,32.994205,22.38646,22.132015
BFSCC-17000M,baseline,0.8782,1.0103543488265072,0.00629633134108078,0.10262062423156856,0,0.264991364001265,0.9996665079099994,122.4,147.2,86.17,36.83645,19.06103,18.39906
BFSCC-17000M,triangel,0.9074,1.043948458352508,0.029113787779617196,0.10476887010717129,0,0.640409632753875,1.0101889479243769,121.6,149.6,87,36.41333,18.62335,17.930785
BFSCC-17000M,prophet,0.9076,1.044178554993097,0.013147615670162427,0.12350010744274778,0,0.3226168497390057,1.0062458034290065,121.8,147.5,86.38,36.664365,18.92961,18.15306
BFSCC-17000M,kairos,0.8711,1.0021859180855959,0.0020018971103084406,0.2835367507458638,0,0.8045724124736943,0.9998866023805253,122.9,147.3,86.31,36.931145,19.143405,18.75521
BFSCC-17000M,ptp,0.8787,1.0109295904279798,0.0052437713760514195,0.024976418196394082,0,0.2656362636691307,0.9996254442265836,122.4,147.1,86.22,36.853895,19.08122,18.40296
BellmanFord-22250M,baseline,0.6166,1.0,0.0,0,0,0,1.0,141.9,131.9,78.27,58.827605,24.993815,24.993815
BellmanFord-22250M,triangel,0.6166,1.0,0.0,0,0,0,1.0,141.9,131.9,78.27,58.827605,24.993815,24.993815
BellmanFord-22250M,prophet,0.6166,1.0,0.0,0,0,0,1.0,141.9,131.9,78.27,58.826465,24.993815,24.993815
BellmanFord-22250M,kairos,0.6166,1.0,0.0,0,0,0,1.0,141.9,131.9,78.27,58.827605,24.993815,24.993815
BellmanFord-22250M,ptp,0.6166,1.0,0.0,0,0,0,1.0,141.9,131.9,78.27,58.827605,24.993815,24.993815
CF-154750M,baseline,0.6566,1.0007620789513794,0.005698348626592542,0.643842958595739,0,0.9532258064516129,1.0010139174636532,142.4,133.1,62.97,55.100155,15.984105,15.966375
CF-154750M,triangel,0.656,0.9998475842097242,3.110282531844628e-07,0,0,0,1.0004746259961075,143.1,133.2,63.11,54.962915,16.075705,16.052245
CF-154750M,prophet,0.6562,1.000152415790276,0.005494625120756719,0.6909137784980295,0,0.9416813262967109,1.0020332495002735,142.5,133.2,62.99,55.06079,15.98738,15.97547
CF-154750M,kairos,0.6561,1.0,0.0,0,0,0,1.0004699849335639,143.1,133.1,63.1,54.99649,16.07571,16.05168
CF-154750M,ptp,0.6564,1.0004572473708275,0.005698970683098911,0.6435749698512663,0,0.9537268373932959,1.0010035524239729,142.4,133.1,62.98,55.0833,15.984095,15.966445
CF-184750M,baseline,0.7927,1.005199086989602,0.010605894404781152,0.11505785967037521,0,0.7193669044815405,1.0202526975929171,112.9,124.2,93.5,31.696445,9.51576,9.187655
CF-184750M,triangel,0.7851,0.9955617550088766,0.006979792082672014,0.05714848365498228,0,0.8096273127286222,1.0716956241053135,114.5,125.7,93.83,31.68358,9.550635,9.310515
CF-184750M,prophet,0.7828,0.9926451940147097,0.02539571303728049,0.10786877763032214,0,0.7797072375638655,1.1026985953670772,114.5,127.5,94.06,31.662785,9.373515,9.181345
CF-184750M,kairos,0.7836,0.9936596500126806,2.3914079830397187e-05,0,0,0,1.011590326758598,114.7,125.4,93.55,31.68084,9.617535,9.383755
CF-184750M,ptp,0.7927,1.005199086989602,0.010609013632585117,0.09842810926532602,0,0.7193918193467946,1.0202526975929171,112.9,124.2,93.5,31.696525,9.51573,9.18766
Components-15750M,baseline,0.5784,1.000172920629431,0.0,0.0,0,0,1.0,129.4,132.3,80.1,43.950665,20.90315,20.90315
Components-15750M,triangel,0.5784,1.000172920629431,0.0,0,0,0,0.9999968397749255,129.4,132.3,80.08,43.94869,20.90315,20.90315
