Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI
bark.cpp-1,baseline,2.722,1.017570093457944,0.13795552167098132,0.24550062734815004,0,0.30775318301316273,1.0006445076348374,31.2,48.86,82.44,15.176215,5.35949,0.860225
bark.cpp-1,triangel,2.759,1.0314018691588784,0.5512953209531323,0.19709988746953352,0,0.6499900909640022,1.618147272572591,21.76,53.63,71.48,14.222375,2.78968,0.481575
bark.cpp-1,prophet,2.677,1.0007476635514019,0.15145198349413763,0.23804520027837586,0,0.31107912289863887,1.3239398493914558,34.87,58,84.55,15.353905,5.27558,1.10133
bark.cpp-1,kairos,2.578,0.9637383177570094,2.4126674692807116e-06,0.0,0,0,1.591186229192071,45.35,69.63,88.92,16.29641,6.21717,2.8391
bark.cpp-1,ptp,2.721,1.0171962616822432,0.13792817810632949,0.20814607824448067,0,0.29133752572099497,0.9998685204424932,31.16,48.75,82.33,15.434265,5.35966,0.86157
bark.cpp-2,baseline,2.501,1.0334710743801652,0.10295710216569161,0.07868412559087008,0,0.1747459127338102,1.0000905142963925,17.34,74.61,83.62,72.65558,6.63082,1.885925
bark.cpp-2,triangel,2.398,0.990909090909091,0.44271371298041834,0.051354357173620226,0,0.8694866362646175,1.1403886469767253,15.76,96.14,85.5,73.34044,4.119385,2.906975
bark.cpp-2,prophet,2.397,0.990495867768595,0.15115400511237692,0.07107974469631656,0,0.23622212984617272,1.2778740235648618,18.41,89.31,85.21,72.857065,6.274555,2.23669
bark.cpp-2,kairos,2.375,0.981404958677686,5.546638094716286e-05,0.07329462989840348,0,0.20297029702970298,1.1392139076676315,20.58,94.84,87.47,73.75237,7.391455,5.39166
bark.cpp-2,ptp,2.501,1.0334710743801652,0.10269735716223172,0.07635512229575481,0,0.17485595565633894,1.0000895410243882,17.34,74.6,83.66,72.647715,6.63274,1.89967
bark.cpp-4,baseline,2.182,1.0380589914367269,0.09762308941812638,0.06390504960258313,0,0.18221729721403,0.999986444159506,17.72,88.15,85.22,83.58166,6.78023,2.316595
bark.cpp-4,triangel,2.195,1.044243577545195,0.4599424122058973,0.05808259668761309,0,0.6898376827852728,1.0869862336452771,14.96,97.5,86.78,82.439185,4.057855,2.287635
bark.cpp-4,prophet,2.124,1.0104662226451,0.140085935841581,0.05335336848519043,0,0.24407125626275747,1.1728186260437998,18.38,98.88,87.9,84.301695,6.461175,2.78417
