Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,L2C_PrefetchHit,L2C_USEFUL,L2C_Relative_Useful,L2C_UsefulPF,LLC_DemandHit,DRAM_Traffic,MPKI,PCM_useful_prefetches,PCM_late_prefetches,PCM_accuracy,PCM_laterate,PCM_useful_coverage,MT_inserts,MT_lookups,MT_hits,MT_hitrate,MT_accuracy,MT_accuratepf,LLC_Traffic,MT_acc_find_rate,Fail_Entry_Init,Insert_PC,Init_L3Hit_rate,Init_UPF_rate,L2C_PF_Issue,L2C_PF_Fill
BFSCC-17000M,prism_final,1.204,1.2567849686847599,0.14337480548925174,0.9925778201167488,0,0.9781454993392373,0.8524243926540988,0.06244872333756718,6.157874923533011,0.18192780832746422 ,0.022368270716283414,1.01439547039521,14.84178,0,0,0,0,0,0.0,0.3967359123514098,0.25918952236206505,0.653305,0,0,0,0.0,0,5,0.0130426,0.198233,3596509,673926
BFSCC-17000M,prism_ae,1.193,1.245302713987474,0.11645634861958978,0.9982579906779936,0,0.9669977739320389,0.6201180285676944,0.051037387248608346,5.032638464072279,0.5973400565455811 ,0.02455946975779961,1.0034634829728786,15.228975,0,0,0,0,0,0.07141710465383075,0.1665471722388102,0.08545493208478835,0.513097,0.803842,568720,0,0.3259151607398077,179,4,0.00651187,0.320973,895207,553958
BFSCC-17000M,prism_ae_0.1,1.193,1.245302713987474,0.11645634861958978,0.9982579906779936,0,0.9669977739320389,0.6201180285676944,0.051037387248608346,5.032638464072279,0.5973400565455811 ,0.02455946975779961,1.0034634829728786,15.228975,0,0,0,0,0,0.07141710465383075,0.1665471722388102,0.08545493208478835,0.513097,0.803842,568720,0,0.3259151607398077,179,4,0.00651187,0.320973,895207,553958
CF-184750M,prism_final,0.8311,0.9910565227760553,-0.009315132386184453,0.12904135338345865,0,0.9974508375819373,0.45533041313459177,0.0004242302868828274,0.1382774636510501,0.08631393186903223 ,0.013308421069767467,0.9844886571605675,9.3947,0,0,0,0,0,0.0,0.16368923296097407,0.008068584361034688,0.0492921,0,0,0,0.0,0,1,0.0157803,0.0898966,31733,21280
CF-184750M,prism_ae,0.8307,0.9905795373241116,-0.009401525932639534,0.12861814809391323,0,0.9977229601518026,0.4477472049273616,0.00040719292596383833,0.13272415185783523,0.08800294570529557 ,0.01340389099827929,0.9848229533424518,9.3946,0,0,0,0,0,0.13430954313697155,0.13505345626873433,0.0046270374553989,0.0342608,0.74465,19836,0,0.02274877603190058,5,1,0.0166991,0.0867159,29874,20487
CF-184750M,prism_ae_0.1,0.8307,0.9905795373241116,-0.009401525932639534,0.12861814809391323,0,0.9977229601518026,0.4477472049273616,0.00040719292596383833,0.13272415185783523,0.08800294570529557 ,0.01340389099827929,0.9848229533424518,9.3946,0,0,0,0,0,0.13430954313697155,0.13505345626873433,0.0046270374553989,0.0342608,0.74465,19836,0,0.02274877603190058,5,1,0.0166991,0.0867159,29874,20487
Components-Shortcut-17000M,prism_final,1.185,1.2339893783192752,0.13725634584219246,0.9915115401789151,0,0.9771646243460356,0.7620181117218866,0.06009391141980284,5.988256678181593,0.2989099145146488 ,0.021041992455652126,1.017136201028798,14.92745,0,0,0,0,0,0.0,0.28284407128772177,0.1366710265850608,0.483203,0,0,0,0.0,0,5,0.011395,0.243045,2105156,649470
Components-Shortcut-17000M,prism_ae,1.196,1.2454441320420702,0.11780887311926978,0.9952813291122968,0,0.9343555936721809,0.6026549060112429,0.05181439582914723,5.1632169469266564,0.5795120638219923 ,0.024097138528929998,1.006321539158557,15.083175,0,0,0,0,0,0.07234328932922707,0.17114787075796112,0.08942375350773517,0.522494,0.809094,601894,0,0.33585698231250916,142,5,0.00866603,0.311394,936229,583427
Components-Shortcut-17000M,prism_ae_0.1,1.196,1.2454441320420702,0.11780887311926978,0.9952813291122968,0,0.9343555936721809,0.6026549060112429,0.05181439582914723,5.1632169469266564,0.5795120638219923 ,0.024097138528929998,1.006321539158557,15.083175,0,0,0,0,0,0.07234328932922707,0.17114787075796112,0.08942375350773517,0.522494,0.809094,601894,0,0.33585698231250916,142,5,0.00866603,0.311394,936229,583427
Components-Shortcut-22000M,prism_final,0.5029,1.0118712273641852,-0.03482056446419569,0.31344549190961635,0,0.9936536881189604,0.6003291546321079,0.003897124550550754,0.167781645739497,0.13916654485088908 ,0.28665143564438605,0.748440598129477,30.083835,0,0,0,0,0,0.0,0.10851562637479077,0.04564827639878242,0.420661,0,0,0,0.0,0,0,0.291555,0.109255,1190322,531866
Components-Shortcut-22000M,prism_ae,0.5111,1.0283702213279677,-0.03438585171928645,0.358799136471648,0,0.9939543473869507,0.6653375788138578,0.0032412478966730427,0.13954439980026598,0.14024540451842366 ,0.33521181486365415,0.6853075293587298,28.02507,0,0,0,0,0,0.05730654920564089,0.05972149932570262,0.023111259208833817,0.386984,1.00106,830715,0,0.32723995981958204,0,0,0.291584,0.0985061,982378,386322
