Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,L2C_PrefetchHit,L2C_USEFUL,L2C_Relative_Useful,L2C_UsefulPF,LLC_DemandHit,DRAM_Traffic,MPKI,PCM_useful_prefetches,PCM_late_prefetches,PCM_accuracy,PCM_laterate,PCM_useful_coverage,MT_inserts,MT_lookups,MT_hits,MT_hitrate,MT_accuracy,MT_accuratepf,LLC_Traffic,MT_acc_find_rate,Fail_Entry_Init,Insert_PC,Init_L3Hit_rate,Init_UPF_rate,L2C_PF_Issue,L2C_PF_Fill
bark.cpp-5,prism_final,0.6692,1.0028472950696838,0.03467528672550676,0.9602206712761722,0,0.998705397561409,0.8925468481521979,0.006960977889119873,18.214506172839506,0.3178779766553732 ,0.006684916475284157,1.00957601758428,12.941,0,0,0,0,0,0.0,0.14645931684987767,0.03787325169788471,0.258592,0,0,0,0.0,0,15,0,0.0565724,371306,123079
bark.cpp-5,prism_ae,0.6707,1.0050951595983815,0.03652306524795269,0.9603629233785707,0,0.9958606885508406,0.8974813844144177,0.007335654602917878,19.194907407407406,0.2562769652989826 ,0.007597411325206625,1.0039068527493094,12.8647,0,0,0,0,0,0.045449352855525475,0.1053998681642805,0.028647405267920388,0.271797,0.943653,446695,0,0.24994754232285393,748,14,2.60166e-05,0.017801,485346,130055
bark.cpp-5,prism_ae_0.1,0.6707,1.0050951595983815,0.03652306524795269,0.9603629233785707,0,0.9958606885508406,0.8974813844144177,0.007335654602917878,19.194907407407406,0.2562769652989826 ,0.007597411325206625,1.0039068527493094,12.8647,0,0,0,0,0,0.045449352855525475,0.1053998681642805,0.028647405267920388,0.271797,0.943653,446695,0,0.24994754232285393,748,14,2.60166e-05,0.017801,485346,130055
biogpt.cpp-1,prism_final,0.3659,1.0024657534246575,0.005433144210813104,0.9062846157903682,0,0.9587474859829402,2.6297094792837754,0.002330618297845328,7.980083970287437,0.5081507581781787 ,0.006169720837327628,0.9966762455038547,32.77175,0,0,0,0,0,0.0,0.34351220376282593,0.004513700254510799,0.0131399,0,0,0,0.0,0,3,0.00222533,0.243086,291752,170623
biogpt.cpp-1,prism_ae,0.3654,1.001095890410959,0.0022031079993222323,0.7972981513667246,0,0.8282039594934703,5.041879666375193,0.0006569886809364466,2.2495424695876842,0.35138225600322864 ,0.0026317411009946943,1.001112414654455,32.84209,1645,207,0.510474,0.111771,0,0.2392208471412519,0.24302436074161873,0.0017583470748330418,0.00723527,0.890855,82829,0,0.005357933767428454,875,6,0.000890567,0.234432,118936,63290
biogpt.cpp-1,prism_ae_0.1,0.3654,1.001095890410959,0.0022031079993222323,0.7972981513667246,0,0.8282039594934703,5.041879666375193,0.0006569886809364466,2.2495424695876842,0.35138225600322864 ,0.0026317411009946943,1.001112414654455,32.84209,1645,207,0.510474,0.111771,0,0.2392208471412519,0.24302436074161873,0.0017583470748330418,0.00723527,0.890855,82829,0,0.005357933767428454,875,6,0.000890567,0.234432,118936,63290
biogpt.cpp-2,prism_final,0.3486,1.0028768699654775,0.002281795776249434,0.7586988709975939,0,0.9812008294200159,3.8534628802143898,0.0013702218211449914,2.8224639270207446,0.379874978602334 ,0.004707262748432424,0.9957841052863641,24.28819,173,15,0.52514,0.0797872,0,0.0,0.2604380434471566,0.004240097185146425,0.0162806,0,0,0,0.0,0,0,0,0,169411,86448
biogpt.cpp-2,prism_ae,0.3479,1.0008630609896432,0.0015464538003810298,0.6784463235413917,0,0.9343435556302683,4.727455850725471,0.0008283928272129311,1.7063725275207229,0.29463393208735955 ,0.003254841444981066,1.000892641859853,24.54592,181,13,0.568915,0.0670103,0,0.16021920397979442,0.16588488118257372,0.0028056598560755024,0.0169133,0.855991,77944,0,0.01000424844277245,888,0,0,0,132052,61377
biogpt.cpp-2,prism_ae_0.1,0.3479,1.0008630609896432,0.0015464538003810298,0.6784463235413917,0,0.9343435556302683,4.727455850725471,0.0008283928272129311,1.7063725275207229,0.29463393208735955 ,0.003254841444981066,1.000892641859853,24.54592,181,13,0.568915,0.0670103,0,0.16021920397979442,0.16588488118257372,0.0028056598560755024,0.0169133,0.855991,77944,0,0.01000424844277245,888,0,0,0,132052,61377
biogpt.cpp-3,prism_final,0.3476,1.0008638065073425,0.001356814650873846,0.7554587182615768,0,0.9786036209256895,4.025205130898607,0.0012147016706443915,2.340261173441236,0.37127817267177887 ,0.010596453666325188,0.9984836727580843,26.674815,0,0,0,0,0,0.0,0.3075633985680191,0.00373672553699284,0.0121494,0,0,0,0.0,0,6,0.00092257,0.234483,171354,86055
biogpt.cpp-3,prism_ae,0.3472,0.9997120644975526,0.0014042225075655411,0.7850909090909091,0,0.9258284559349867,4.57472359893252,0.000839618138424821,1.6176200110354975,0.2993777572027667 ,0.009009350944905828,1.0013658726463817,26.792035,1067,37,0.51325,0.0335145,0,0.20082598568019094,0.2043393031026253,0.002747933174224344,0.0134479,0.919091,112812,0,0.01054094032939364,979,6,0.000453823,0.202247,146888,60500
biogpt.cpp-3,prism_ae_0.1,0.3472,0.9997120644975526,0.0014042225075655411,0.7850909090909091,0,0.9258284559349867,4.57472359893252,0.000839618138424821,1.6176200110354975,0.2993777572027667 ,0.009009350944905828,1.0013658726463817,26.792035,1067,37,0.51325,0.0335145,0,0.20082598568019094,0.2043393031026253,0.002747933174224344,0.0134479,0.919091,112812,0,0.01054094032939364,979,6,0.000453823,0.202247,146888,60500
llama2.c_110M-1,prism_final,0.5327,1.0206936194673308,0.02423514331929895,0.9980467036662319,0,0.9933668895282405,0.5641266008471922,0.008080537785440647,4461.236842105263,0.349275189134842 ,0.00404465422818236,1.0009625968799907,33.92743,0,0,0,0,0,0.0,0.40698284643970534,0.008357520242932348,0.0205353,0,0,0,0.0,0,1,0.000210189,0.333333,485368,170993
llama2.c_110M-1,prism_ae,0.5329,1.021076834642652,0.025888183496333112,0.9981790258885476,0,0.9947084423148779,0.016438119133105507,0.008628592216044602,4763.815789473684,0.9788521434442186 ,0.004025101307970345,1.0025969532991077,33.884965,0,0,0,0,0,0.323999741082652,0.3334518925656974,0.008815487451946331,0.0264371,0.997016,182740,0,0.02612172317034297,41,2,0.000250235,0.890909,184936,182320
llama2.c_110M-1,prism_ae_0.1,0.5329,1.021076834642652,0.025888183496333112,0.9981790258885476,0,0.9947084423148779,0.016438119133105507,0.008628592216044602,4763.815789473684,0.9788521434442186 ,0.004025101307970345,1.0025969532991077,33.884965,0,0,0,0,0,0.323999741082652,0.3334518925656974,0.008815487451946331,0.0264371,0.997016,182740,0,0.02612172317034297,41,2,0.000250235,0.890909,184936,182320
llama2.c_110M-2,prism_final,0.4755,1.0192926045016075,0.02489658695877412,0.9962955609133456,0,0.9911799205110977,0.5386640781653,0.008288942202635931,3284.396226415094,0.3469621650927037 ,0.004107567275778958,1.0010093759180951,33.9504,0,0,0,0,0,0.0,0.4165959029131937,0.00861588479087936,0.0206816,0,0,0,0.0,0,1,9.02238e-05,0.311628,501706,176275
llama2.c_110M-2,prism_ae,0.4722,1.0122186495176848,0.0180312043358807,0.9974720596061735,0,0.9909924754215411,0.022331764309041567,0.006014153195125727,2383.0377358490564,0.9682540899403567 ,0.004093736674698402,1.002723764261664,34.205495,0,0,0,0,0,0.3267722123942097,0.33355853293727533,0.006212290117596001,0.0186243,0.994041,128113,0,0.018288952980175844,22,1,4.00986e-05,0.837607,130442,127772
llama2.c_110M-2,prism_ae_0.1,0.4722,1.0122186495176848,0.0180312043358807,0.9974720596061735,0,0.9909924754215411,0.022331764309041567,0.006014153195125727,2383.0377358490564,0.9682540899403567 ,0.004093736674698402,1.002723764261664,34.205495,0,0,0,0,0,0.3267722123942097,0.33355853293727533,0.006212290117596001,0.0186243,0.994041,128113,0,0.018288952980175844,22,1,4.00986e-05,0.837607,130442,127772
llama2.c_110M-3,prism_final,0.4397,1.0333725029377203,0.045909963286701556,0.9997282507998073,0,0.994446160499166,0.5176251412126165,0.015317090929782656,1257.5859375,0.34214315850777455 ,0.004180166963976585,1.0011643402647354,33.262,0,0,0,0,0,0.0,0.40589092019109657,0.01555354949039612,0.0383195,0,0,0,0.0,0,0,0,0,940957,323828
llama2.c_110M-3,prism_ae,0.4397,1.0333725029377203,0.046100501923012974,0.9995654023264846,0,0.9967529764382649,0.006930647605344925,0.015379036411858858,1262.671875,0.9895274975892734 ,0.00425995047238224,1.0021395333759455,33.26359,0,0,0,0,0,0.31767617661446723,0.3337616389233057,0.015544414672762762,0.0465734,0.998703,325069,0,0.046338053727333205,0,0,0,0,326665,324438
llama2.c_110M-3,prism_ae_0.1,0.4397,1.0333725029377203,0.046100501923012974,0.9995654023264846,0,0.9967529764382649,0.006930647605344925,0.015379036411858858,1262.671875,0.9895274975892734 ,0.00425995047238224,1.0021395333759455,33.26359,0,0,0,0,0,0.31767617661446723,0.3337616389233057,0.015544414672762762,0.0465734,0.998703,325069,0,0.046338053727333205,0,0,0,0,326665,324438
llama2.c_15M-1,prism_final,0.6938,1.4223042230422303,0.38145794316188797,0.9991901094434166,0,0.9969515543476412,0.5882168224398087,0.12706402491061616,4864.198113207547,0.34143720093079805 ,0.033103958717869704,1.018172735734035,20.16449,0,0,0,0,0,0.0,0.423859395803113,0.1416957145781291,0.334299,0,0,0,0.0,0,14,5.4019e-05,0.331949,7550510,2588004
llama2.c_15M-1,prism_ae,0.6954,1.4255842558425584,0.3814105936051168,0.9988223780622324,0,0.9970663994036869,0.0029452045559174725,0.12704480284344646,4863.462264150943,0.9930231975791151 ,0.038169422977827855,1.018311512223415,20.066135,0,0,0,0,0,0.20446266411640765,0.33925568508654935,0.12794089618501606,0.377122,0.999968,2591516,0,0.37649762756384364,177,14,4.23424e-05,0.991715,2595745,2588267
