Trace,Prefetcher,IPC,IPCI,L2C_Coverage,L2C_Accuracy,L2C_Overprediction,L2C_Timeliness,L2C_UsefulPF,LLC_DemandHit,DRAM_Traffic,L1D_average_miss_latency,L2C_average_miss_latency,LLC_average_miss_latency,L1-MPKI,L2-MPKI,MPKI,PCM_useful_prefetches,PCM_late_prefetches,PCM_coverage,PCM_accuracy,PCM_laterate,MT_hitrate,CT_hitrate,CT_accuracy,CT_accuratepf
403.gcc-17B,latetpl2d1,1.255,1.0599662162162162,0.28467572247942424,0.8909938252675654,0,0.9923984907456193,0.087956140743985 ,0.08665445543137619,1.1018827099806943,39.48,179.1,97.78,18.016345,2.55482,2.47822,0,0,0,0,0,0.904097,0,0,0,264141
403.gcc-17B,latetpl2d2,1.26,1.0641891891891893,0.30973903523815255,0.8466824425870751,0,0.9984663114010673,0.048367461693984065 ,0.0721222438391699,1.1228229117665849,39.2,180.9,97.62,18.007795,2.465305,2.412245,0,0,0,0,0,0.948246,0,0,0,303416
403.gcc-17B,latetpl2d3,1.258,1.0625,0.3151008454300718,0.8187335978028685,0,0.9993328338905475,0.03392738739377129 ,0.06986309369863929,1.1397625726249174,39.2,180.9,97.52,18.006705,2.446155,2.397315,0,0,0,0,0,0.964348,0,0,0,327700
403.gcc-17B,latetpl2d4,1.258,1.0625,0.3170565761972026,0.7917329466391293,0,0.9995818872057485,0.02620734427284221 ,0.0680577469898833,1.1509785230188736,39.23,181,97.51,18.006155,2.43917,2.392055,0,0,0,0,0,0.972753,0,0,0,341355
403.gcc-17B,latetpl2d5,1.254,1.0591216216216217,0.31565802570589,0.7742016171415884,0,0.9996006839195415,0.02194204042544901 ,0.06653830054416074,1.1662306890106253,39.39,180.6,97.45,18.00829,2.444165,2.397145,0,0,0,0,0,0.977801,0,0,0,355813
403.gcc-17B,latetpl3d1,1.255,1.0599662162162162,0.2836789577648951,0.890684257086811,0,0.997629216345884,0.08707851615977034 ,0.08750881647623078,1.0982347675380413,39.4,179,97.56,18.01422,2.55838,2.48675,0,0,0,0,0,0.903131,0,0,0,259990
403.gcc-17B,latetpl3d2,1.261,1.0650337837837838,0.30917485521012555,0.844672056038608,0,0.9995299052578289,0.046954450772089276 ,0.07283914822331755,1.1131874322284971,39.1,181.2,97.62,18.00775,2.46732,2.41526,0,0,0,0,0,0.947444,0,0,0,294654
403.gcc-17B,latetpl3d3,1.26,1.0641891891891893,0.31371489449273493,0.8148602470866556,0,0.9997926267281106,0.03296726256843171 ,0.06838489960901659,1.133607447543716,39.18,181.3,97.62,18.007035,2.451105,2.40322,0,0,0,0,0,0.963863,0,0,0,319564
403.gcc-17B,latetpl3d4,1.259,1.0633445945945945,0.31551243085994757,0.7872234536916604,0,0.9998448608207638,0.025027630166627575 ,0.06804135765350437,1.1397194311632348,39.2,181,97.43,18.005725,2.444685,2.397505,0,0,0,0,0,0.9723,0,0,0,327522
403.gcc-17B,latetpl3d5,1.252,1.0574324324324325,0.3135692996467925,0.7710582906948223,0,0.9998335491030146,0.021549512856880795 ,0.06717404597815128,1.1630996144646684,39.45,180.5,97.52,18.00899,2.451625,2.40397,0,0,0,0,0,0.977436,0,0,0,350622
410.bwaves-1963B,latetpl2d1,1.687,1.0779552715654952,0.22900548498845266,0.9993249555820773,0,1.0,0.4913596244330915 ,0.0,1.0000316273968535,90.5,143.1,107.9,7.158065,3.20487,3.134065,0,0,0,0,0,0.239076,0,0,0,185173
410.bwaves-1963B,latetpl2d2,1.688,1.0785942492012779,0.22896218244803695,0.9991307634164777,0,1.0,0.245701592966412 ,0.0,1.0000412985843212,90.4,142.9,107.7,7.15855,3.20505,3.134255,0,0,0,0,0,0.38589,0,0,0,185220
410.bwaves-1963B,latetpl2d3,1.688,1.0785942492012779,0.22902232486528099,0.9985753678950521,0,1.0,0.1637904404312702 ,0.0,1.0000682210791634,90.36,142.8,107.6,7.16003,3.2048,3.134295,0,0,0,0,0,0.48524,0,0,0,185311
410.bwaves-1963B,latetpl2d4,1.688,1.0785942492012779,0.22822844495765973,0.9983975742403315,0,1.0,0.1228408731834126 ,0.0,1.0000758011990705,90.39,142.8,107.6,7.16158,3.2081,3.138635,0,0,0,0,0,0.556766,0,0,0,185344
410.bwaves-1963B,latetpl2d5,1.689,1.0792332268370608,0.22913298691301,0.9980636775025216,0,1.0,0.09827178379825192 ,0.0,1.0000946208071155,90.41,142.8,107.6,7.148275,3.20434,3.134955,0,0,0,0,0,0.611004,0,0,0,185403
410.bwaves-1963B,latetpl3d1,1.688,1.0785942492012779,0.2315110180908391,0.9995621787283724,0,1.0,0.4910343728840562 ,0.0,1.0000201265252704,90.04,142.8,107.5,7.165655,3.194455,3.127655,0,0,0,0,0,0.238816,0,0,0,185007
410.bwaves-1963B,latetpl3d2,1.689,1.0792332268370608,0.23163370862201693,0.9992866946945216,0,1.0,0.2455157873494088 ,0.0,1.0000457421028872,89.91,142.7,107.5,7.163795,3.193945,3.12684,0,0,0,0,0,0.38558,0,0,0,185054
410.bwaves-1963B,latetpl3d3,1.69,1.0798722044728435,0.23232534642032332,0.9986930504849755,0,1.0,0.16367806080947714 ,0.0,1.0000653458612676,89.89,142.7,107.4,7.16006,3.19107,3.124805,0,0,0,0,0,0.485024,0,0,0,185164
410.bwaves-1963B,latetpl3d4,1.689,1.0792332268370608,0.22863741339491916,0.9980462636140884,0,1.0,0.12275734705948345 ,0.0,1.0000954049574506,90.39,142.8,107.7,7.1578,3.2064,3.13595,0,0,0,0,0,0.556821,0,0,0,185286
410.bwaves-1963B,latetpl3d5,1.688,1.0785942492012779,0.2283860180908391,0.997593962247865,0,1.0,0.09820594033325686 ,0.0,1.0001173611668366,90.46,142.9,107.7,7.150115,3.207445,3.137275,0,0,0,0,0,0.610897,0,0,0,185367
410.bwaves-2097B,latetpl2d1,1.682,1.076135636596289,0.22345526001540603,0.9991091867144647,0,1.0,0.49140449080171644 ,0.0,1.0000420850887302,90.47,142.8,107.7,7.27313,3.26122,3.194815,0,0,0,0,0,0.23751,0,0,0,185224
410.bwaves-2097B,latetpl2d2,1.685,1.0780550223928345,0.22369813710888156,0.9989635068019866,0,1.0,0.24568503117399015 ,0.0,1.0000509726229962,90.43,142.7,107.7,7.29093,3.2602,3.18884,0,0,0,0,0,0.384233,0,0,0,185240
410.bwaves-2097B,latetpl2d3,1.685,1.0780550223928345,0.2241576986681049,0.9986831879803125,0,1.0,0.1637948660755776 ,0.0,1.000063781128262,90.37,142.5,107.5,7.28065,3.25827,3.186975,0,0,0,0,0,0.483692,0,0,0,185296
410.bwaves-2097B,latetpl2d4,1.685,1.0780550223928345,0.2244101003534814,0.9983652902014524,0,1.0,0.122845648811381 ,0.0,1.0000797264103276,90.43,142.7,107.7,7.27483,3.25721,3.18787,0,0,0,0,0,0.555392,0,0,0,185354
410.bwaves-2097B,latetpl2d5,1.685,1.0780550223928345,0.2236624198892528,0.9980099234171071,0,1.0,0.09827863289079421 ,0.0,1.0000959330904597,90.31,142.6,107.5,7.2667,3.26035,3.19516,0,0,0,0,0,0.608857,0,0,0,185420
410.bwaves-2097B,latetpl3d1,1.683,1.0767754318618044,0.22388743837291397,0.9995784080037619,0,1.0,0.4910700060542332 ,0.0,1.0000209118453318,90.58,142.9,107.9,7.28553,3.259405,3.188135,0,0,0,0,0,0.237892,0,0,0,185013
410.bwaves-2097B,latetpl3d2,1.684,1.0774152271273192,0.22354336249049028,0.9990384355670799,0,1.0,0.24553765839254799 ,0.0,1.00004600605973,90.36,142.7,107.6,7.27719,3.26085,3.19483,0,0,0,0,0,0.383739,0,0,0,185115
410.bwaves-2097B,latetpl3d3,1.684,1.0774152271273192,0.22359693831993344,0.9989574893318209,0,1.0,0.16369438027209077 ,0.0,1.0000499270307297,90.32,142.6,107.5,7.271505,3.260625,3.194175,0,0,0,0,0,0.483037,0,0,0,185130
410.bwaves-2097B,latetpl3d4,1.684,1.0774152271273192,0.2228778316314078,0.9985745140388769,0,1.0,0.12276824685355583 ,0.0,1.0000684862934617,90.33,142.6,107.5,7.27698,3.263645,3.198025,0,0,0,0,0,0.554638,0,0,0,185200
410.bwaves-2097B,latetpl3d5,1.685,1.0780550223928345,0.22406364332308248,0.9979871240697868,0,1.0,0.09821654758749836 ,0.0,1.0000993312653261,90.3,142.5,107.3,7.26237,3.258665,3.194725,0,0,0,0,0,0.609003,0,0,0,185307
429.mcf-184B,latetpl2d1,0.189,1.110458284371328,0.30304248318267446,0.717643254430216,0,0.9780205836232224,0.22797859802150852 ,0.17751994458316134,1.1071333154106344,58.98,112.8,93.79,159.23744,47.34584,38.402525,0,0,0,0,0,0.722141,0,0,0,5798250
429.mcf-184B,latetpl2d2,0.1899,1.1157461809635725,0.3223836863754178,0.6278464636317043,0,0.9954369440083726,0.12086176451743608 ,0.17849085411267843,1.1311145273691663,58.29,113.5,94.61,159.206015,46.03195,37.58412,0,0,0,0,0,0.833734,0,0,0,6848410
429.mcf-184B,latetpl2d3,0.1899,1.1157461809635725,0.3255854828731746,0.5707257850223735,0,0.996582141014725,0.08168321947185517 ,0.18010198997450028,1.1556230400821723,58.21,113.5,95.04,159.20344,45.814445,37.35512,0,0,0,0,0,0.879843,0,0,0,7560517
429.mcf-184B,latetpl2d4,0.1896,1.1139835487661576,0.3269751042124001,0.5308385604315627,0,0.996609334178457,0.06201489528013869 ,0.18007839826196717,1.1773295229833534,58.28,113.8,95.4,159.200695,45.720045,37.28578,0,0,0,0,0,0.90505,0,0,0,8149359
429.mcf-184B,latetpl2d5,0.1893,1.1122209165687427,0.3265207539726205,0.4993681879514944,0,0.9965730270676737,0.05010426864399455 ,0.1811515354280898,1.1975894643511877,58.36,113.7,95.63,159.207995,45.75091,37.257245,0,0,0,0,0,0.921095,0,0,0,8657638
