group_name,set,trace,trace_energy
prophet,ligra,Radii-24500M,0.0
prophet,ligra,CF-184750M,0.0
prophet,ligra,PageRankDelta-24000M,0.0
prophet,ligra,Triangle-25000M,0.0
prophet,ligra,PageRank-51000M,0.0
prophet,ligra,BFSCC-17000M,0.0
prophet,ligra,Components-Shortcut-22000M,0.0
prophet,ligra,PageRankDelta-17000M,0.0
prophet,ligra,Radii-25000M,0.0
prophet,ligra,Components-Shortcut-17000M,0.0
prophet,spec17,607.cactuBSSN_s-2421B,0.0
prophet,spec17,605.mcf_s-1554B,0.0
prophet,spec17,649.fotonik3d_s-7084B,0.0
prophet,spec17,605.mcf_s-1644B,0.0
prophet,spec17,605.mcf_s-472B,0.0
prophet,spec17,621.wrf_s-6673B,0.0
prophet,spec17,654.roms_s-523B,0.0
prophet,spec17,605.mcf_s-484B,0.0
prophet,spec17,623.xalancbmk_s-10B,0.0
prophet,spec17,620.omnetpp_s-874B,0.0
prophet,spec17,603.bwaves_s-891B,0.0
prophet,ml,llama2.c_110M-3,0.0
prophet,ml,llama2.c_15M-1,0.0
prophet,ml,llama2.c_15M-2,0.0
prophet,ml,bark.cpp-5,0.0
prophet,ml,llama2.c_15M-3,0.0
prophet,ml,stable_diffusion.cpp_v2_1-1,0.0
prophet,ml,biogpt.cpp-1,0.0
prophet,ml,llama2.c_42M-1,0.0
prophet,ml,biogpt.cpp-2,0.0
prophet,ml,llama2.c_42M-2,0.0
prophet,ml,biogpt.cpp-3,0.0
prophet,ml,llama2.c_42M-3,0.0
prophet,ml,rwkv-1,0.0
prophet,ml,llama2.c_110M-1,0.0
prophet,ml,llama2.c_110M-2,0.0
prophet,google,arizona-0,0.0
prophet,google,charlie-3,0.0
prophet,google,merced-4,0.0
prophet,google,tango-0,0.0
prophet,google,yankee-1,0.0
prophet,google,arizona-1,0.0
prophet,google,charlie-4,0.0
prophet,google,tahoe-0,0.0
prophet,google,tango-1,0.0
prophet,google,yankee-2,0.0
prophet,google,merced-0,0.0
prophet,google,tahoe-1,0.0
prophet,google,tango-2,0.0
prophet,google,yankee-3,0.0
prophet,google,charlie-0,0.0
prophet,google,merced-1,0.0
prophet,google,tahoe-2,0.0
prophet,google,tango-3,0.0
prophet,google,yankee-4,0.0
prophet,google,charlie-1,0.0
prophet,google,merced-2,0.0
prophet,google,tahoe-3,0.0
prophet,google,tango-4,0.0
prophet,google,charlie-2,0.0
prophet,google,merced-3,0.0
prophet,google,tahoe-4,0.0
prophet,google,yankee-0,0.0
prophet,google,sierra3-0,0.0
prophet,google,sierra3-1,0.0
prophet,google,sierra3-2,0.0
prophet,google,sierra3-3,0.0
prophet,google,sierra3-4,0.0
prophet,google,sierra4-0,0.0
prophet,google,sierra4-1,0.0
prophet,google,sierra4-2,0.0
prophet,google,sierra4-3,0.0
prophet,google,sierra4-4,0.0
prophet,google,sierra6-0,0.0
prophet,google,sierra6-1,0.0
prophet,google,sierra6-2,0.0
prophet,google,sierra6-3,0.0
prophet,google,sierra6-4,0.0
prophet,gap,bc-0,0.0
prophet,gap,cc-14,0.0
prophet,gap,sssp-14,0.0
prophet,gap,bc-12,0.0
prophet,gap,cc-5,0.0
prophet,gap,sssp-10,0.0
prophet,gap,bfs-14,0.0
prophet,gap,bfs-10,0.0
prophet,gap,cc-13,0.0
triangel,ligra,Radii-24500M,0.0
triangel,ligra,CF-184750M,0.0
triangel,ligra,PageRankDelta-24000M,0.0
triangel,ligra,Triangle-25000M,0.0
triangel,ligra,PageRank-51000M,0.0
triangel,ligra,BFSCC-17000M,0.0
triangel,ligra,Components-Shortcut-22000M,0.0
triangel,ligra,PageRankDelta-17000M,0.0
triangel,ligra,Radii-25000M,0.0
triangel,ligra,Components-Shortcut-17000M,0.0
triangel,spec17,607.cactuBSSN_s-2421B,0.0
triangel,spec17,605.mcf_s-1554B,0.0
triangel,spec17,649.fotonik3d_s-7084B,0.0
triangel,spec17,605.mcf_s-1644B,0.0
triangel,spec17,605.mcf_s-472B,0.0
triangel,spec17,621.wrf_s-6673B,0.0
triangel,spec17,654.roms_s-523B,0.0
triangel,spec17,605.mcf_s-484B,0.0
triangel,spec17,623.xalancbmk_s-10B,0.0
triangel,spec17,620.omnetpp_s-874B,0.0
triangel,spec17,603.bwaves_s-891B,0.0
triangel,ml,llama2.c_110M-3,0.0
triangel,ml,llama2.c_15M-1,0.0
triangel,ml,llama2.c_15M-2,0.0
triangel,ml,bark.cpp-5,0.0
triangel,ml,llama2.c_15M-3,0.0
triangel,ml,stable_diffusion.cpp_v2_1-1,0.0
triangel,ml,biogpt.cpp-1,0.0
triangel,ml,llama2.c_42M-1,0.0
triangel,ml,biogpt.cpp-2,0.0
triangel,ml,llama2.c_42M-2,0.0
triangel,ml,biogpt.cpp-3,0.0
triangel,ml,llama2.c_42M-3,0.0
triangel,ml,rwkv-1,0.0
triangel,ml,llama2.c_110M-1,0.0
triangel,ml,llama2.c_110M-2,0.0
triangel,google,arizona-0,0.0
triangel,google,charlie-3,0.0
triangel,google,merced-4,0.0
triangel,google,tango-0,0.0
triangel,google,yankee-1,0.0
triangel,google,arizona-1,0.0
triangel,google,charlie-4,0.0
triangel,google,tahoe-0,0.0
triangel,google,tango-1,0.0
triangel,google,yankee-2,0.0
triangel,google,merced-0,0.0
triangel,google,tahoe-1,0.0
triangel,google,tango-2,0.0
triangel,google,yankee-3,0.0
triangel,google,charlie-0,0.0
triangel,google,merced-1,0.0
triangel,google,tahoe-2,0.0
triangel,google,tango-3,0.0
triangel,google,yankee-4,0.0
triangel,google,charlie-1,0.0
triangel,google,merced-2,0.0
triangel,google,tahoe-3,0.0
triangel,google,tango-4,0.0
triangel,google,charlie-2,0.0
triangel,google,merced-3,0.0
triangel,google,tahoe-4,0.0
triangel,google,yankee-0,0.0
triangel,google,sierra3-0,0.0
triangel,google,sierra3-1,0.0
triangel,google,sierra3-2,0.0
triangel,google,sierra3-3,0.0
triangel,google,sierra3-4,0.0
triangel,google,sierra4-0,0.0
triangel,google,sierra4-1,0.0
triangel,google,sierra4-2,0.0
triangel,google,sierra4-3,0.0
triangel,google,sierra4-4,0.0
triangel,google,sierra6-0,0.0
triangel,google,sierra6-1,0.0
triangel,google,sierra6-2,0.0
triangel,google,sierra6-3,0.0
triangel,google,sierra6-4,0.0
triangel,gap,bc-0,0.0
triangel,gap,cc-14,0.0
triangel,gap,sssp-14,0.0
triangel,gap,bc-12,0.0
triangel,gap,cc-5,0.0
triangel,gap,sssp-10,0.0
triangel,gap,bfs-14,0.0
triangel,gap,bfs-10,0.0
triangel,gap,cc-13,0.0
prism,ligra,Radii-24500M,0.0
prism,ligra,CF-184750M,0.0
prism,ligra,PageRankDelta-24000M,0.0
prism,ligra,Triangle-25000M,0.0
prism,ligra,PageRank-51000M,0.0
prism,ligra,BFSCC-17000M,0.0
prism,ligra,Components-Shortcut-22000M,0.0
prism,ligra,PageRankDelta-17000M,0.0
prism,ligra,Radii-25000M,0.0
prism,ligra,Components-Shortcut-17000M,0.0
prism,spec17,607.cactuBSSN_s-2421B,0.0
prism,spec17,605.mcf_s-1554B,0.0
prism,spec17,649.fotonik3d_s-7084B,0.0
prism,spec17,605.mcf_s-1644B,0.0
prism,spec17,605.mcf_s-472B,0.0
prism,spec17,621.wrf_s-6673B,0.0
prism,spec17,654.roms_s-523B,0.0
prism,spec17,605.mcf_s-484B,0.0
prism,spec17,623.xalancbmk_s-10B,0.0
prism,spec17,620.omnetpp_s-874B,0.0
prism,spec17,603.bwaves_s-891B,0.0
prism,ml,llama2.c_110M-3,0.0
prism,ml,llama2.c_15M-1,0.0
prism,ml,llama2.c_15M-2,0.0
prism,ml,bark.cpp-5,0.0
prism,ml,llama2.c_15M-3,0.0
prism,ml,stable_diffusion.cpp_v2_1-1,0.0
prism,ml,biogpt.cpp-1,0.0
prism,ml,llama2.c_42M-1,0.0
prism,ml,biogpt.cpp-2,0.0
prism,ml,llama2.c_42M-2,0.0
prism,ml,biogpt.cpp-3,0.0
prism,ml,llama2.c_42M-3,0.0
prism,ml,rwkv-1,0.0
prism,ml,llama2.c_110M-1,0.0
prism,ml,llama2.c_110M-2,0.0
prism,google,arizona-0,0.0
prism,google,charlie-3,0.0
prism,google,merced-4,0.0
prism,google,tango-0,0.0
prism,google,yankee-1,0.0
prism,google,arizona-1,0.0
prism,google,charlie-4,0.0
prism,google,tahoe-0,0.0
prism,google,tango-1,0.0
prism,google,yankee-2,0.0
prism,google,merced-0,0.0
prism,google,tahoe-1,0.0
prism,google,tango-2,0.0
prism,google,yankee-3,0.0
prism,google,charlie-0,0.0
prism,google,merced-1,0.0
prism,google,tahoe-2,0.0
prism,google,tango-3,0.0
prism,google,yankee-4,0.0
prism,google,charlie-1,0.0
prism,google,merced-2,0.0
prism,google,tahoe-3,0.0
prism,google,tango-4,0.0
prism,google,charlie-2,0.0
prism,google,merced-3,0.0
prism,google,tahoe-4,0.0
prism,google,yankee-0,0.0
prism,google,sierra3-0,0.0
prism,google,sierra3-1,0.0
prism,google,sierra3-2,0.0
prism,google,sierra3-3,0.0
prism,google,sierra3-4,0.0
prism,google,sierra4-0,0.0
prism,google,sierra4-1,0.0
prism,google,sierra4-2,0.0
prism,google,sierra4-3,0.0
prism,google,sierra4-4,0.0
prism,google,sierra6-0,0.0
prism,google,sierra6-1,0.0
prism,google,sierra6-2,0.0
prism,google,sierra6-3,0.0
prism,google,sierra6-4,0.0
prism,gap,bc-0,0.0
prism,gap,cc-14,0.0
prism,gap,sssp-14,0.0
prism,gap,bc-12,0.0
prism,gap,cc-5,0.0
prism,gap,sssp-10,0.0
prism,gap,bfs-14,0.0
prism,gap,bfs-10,0.0
prism,gap,cc-13,0.0
baseline,ligra,Radii-24500M,0.0
baseline,ligra,CF-184750M,0.0
baseline,ligra,PageRankDelta-24000M,0.0
baseline,ligra,Triangle-25000M,0.0
baseline,ligra,PageRank-51000M,0.0
baseline,ligra,BFSCC-17000M,0.0
baseline,ligra,Components-Shortcut-22000M,0.0
baseline,ligra,PageRankDelta-17000M,0.0
baseline,ligra,Radii-25000M,0.0
baseline,ligra,Components-Shortcut-17000M,0.0
baseline,spec17,607.cactuBSSN_s-2421B,0.0
baseline,spec17,605.mcf_s-1554B,0.0
baseline,spec17,649.fotonik3d_s-7084B,0.0
baseline,spec17,605.mcf_s-1644B,0.0
baseline,spec17,605.mcf_s-472B,0.0
