set_name,trace_name,alias
ligra,BFSCC-17000M,BFS-17B
ligra,CF-184750M,CF-184B
ligra,Components-Shortcut-17000M,CS-17B
ligra,Components-Shortcut-22000M,CS-22B
ligra,PageRank-51000M,PR-51B
ligra,PageRankDelta-17000M,PRD-17B
ligra,PageRankDelta-24000M,PRD-24B
ligra,Radii-24500M,Radii-24B
ligra,Radii-25000M,Radii-25B
ligra,Triangle-25000M,Triangle-25B
spec17,603.bwaves_s-891B,603-891B
spec17,605.mcf_s-1554B,605-1554B
spec17,605.mcf_s-1644B,605-1644B
spec17,605.mcf_s-472B,605-472B
spec17,605.mcf_s-484B,605-484B
spec17,607.cactuBSSN_s-2421B,607-2421B
spec17,620.omnetpp_s-874B,620-874B
spec17,621.wrf_s-6673B,621-6673B
spec17,623.xalancbmk_s-10B,623-10B
spec17,649.fotonik3d_s-7084B,649-7084B
spec17,654.roms_s-523B,654-523B
ml,bark.cpp-5,bark-5
ml,biogpt.cpp-1,biogpt-1
ml,biogpt.cpp-2,biogpt-2
ml,biogpt.cpp-3,biogpt-3
ml,llama2.c_110M-1,llama110-1
ml,llama2.c_110M-2,llama110-2
ml,llama2.c_110M-3,llama110-3
ml,llama2.c_15M-1,llama15-1
ml,llama2.c_15M-2,llama15-2
ml,llama2.c_15M-3,llama15-3
ml,llama2.c_42M-1,llama42-1
ml,llama2.c_42M-2,llama42-2
ml,llama2.c_42M-3,llama42-3
ml,rwkv-1,rwkv-1
ml,stable_diffusion.cpp_v2_1-1,diff_v2_1-1
google,arizona-0,arizona-0
google,arizona-1,arizona-1
google,charlie-0,charlie-0
google,charlie-1,charlie-1
google,charlie-2,charlie-2
google,charlie-3,charlie-3
google,charlie-4,charlie-4
google,merced-0,merced-0
google,merced-1,merced-1
google,merced-2,merced-2
google,merced-3,merced-3
google,merced-4,merced-4
google,sierra3-0,sierra3-0
google,sierra3-1,sierra3-1
google,sierra3-2,sierra3-2
google,sierra3-3,sierra3-3
google,sierra3-4,sierra3-4
google,sierra4-0,sierra4-0
google,sierra4-1,sierra4-1
google,sierra4-2,sierra4-2
google,sierra4-3,sierra4-3
google,sierra4-4,sierra4-4
google,sierra6-0,sierra6-0
google,sierra6-1,sierra6-1
google,sierra6-2,sierra6-2
google,sierra6-3,sierra6-3
google,sierra6-4,sierra6-4
google,tahoe-0,tahoe-0
google,tahoe-1,tahoe-1
google,tahoe-2,tahoe-2
google,tahoe-3,tahoe-3
google,tahoe-4,tahoe-4
google,tango-0,tango-0
google,tango-1,tango-1
google,tango-2,tango-2
google,tango-3,tango-3
google,tango-4,tango-4
google,yankee-0,yankee-0
google,yankee-1,yankee-1
google,yankee-2,yankee-2
google,yankee-3,yankee-3
google,yankee-4,yankee-4
gap,bc-0,bc-0
gap,bc-12,bc-12
gap,bfs-10,bfs-10
gap,bfs-14,bfs-14
gap,cc-13,cc-13
gap,cc-14,cc-14
gap,cc-5,cc-5
gap,sssp-10,sssp-10
gap,sssp-14,sssp-14
